Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2021-01,"Trento, Monte Bondone e Altopiano di Pinè",0,0
Arrivi,2021-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",0,0
Arrivi,2021-01,Val di Fiemme e Val di Cembra,0,0
Arrivi,2021-01,Val di Fassa,0,0
Arrivi,2021-01,"San Martino di Castrozza, Primiero e Vanoi",0,0
Arrivi,2021-01,"Valsugana, Tesino e Valle dei Mocheni",0,0
Arrivi,2021-01,Altipiani cimbri e Vigolana,0,0
Arrivi,2021-01,"Rovereto, Vallagarina e Monte Baldo",0,0
Arrivi,2021-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",0,0
Arrivi,2021-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",0,0
Arrivi,2021-01,Val di Sole,0,0
Arrivi,2021-01,Val di Non,0,0
Arrivi,2021-01,Provincia,12986,2768
Arrivi,2021-02,"Trento, Monte Bondone e Altopiano di Pinè",0,0
Arrivi,2021-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",0,0
Arrivi,2021-02,Val di Fiemme e Val di Cembra,0,0
Arrivi,2021-02,Val di Fassa,0,0
Arrivi,2021-02,"San Martino di Castrozza, Primiero e Vanoi",0,0
Arrivi,2021-02,"Valsugana, Tesino e Valle dei Mocheni",0,0
Arrivi,2021-02,Altipiani cimbri e Vigolana,0,0
Arrivi,2021-02,"Rovereto, Vallagarina e Monte Baldo",0,0
Arrivi,2021-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",0,0
Arrivi,2021-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",0,0
Arrivi,2021-02,Val di Sole,0,0
Arrivi,2021-02,Val di Non,0,0
Arrivi,2021-02,Provincia,17383,2179
Arrivi,2021-03,"Trento, Monte Bondone e Altopiano di Pinè",0,0
Arrivi,2021-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",0,0
Arrivi,2021-03,Val di Fiemme e Val di Cembra,0,0
Arrivi,2021-03,Val di Fassa,0,0
Arrivi,2021-03,"San Martino di Castrozza, Primiero e Vanoi",0,0
Arrivi,2021-03,"Valsugana, Tesino e Valle dei Mocheni",0,0
Arrivi,2021-03,Altipiani cimbri e Vigolana,0,0
Arrivi,2021-03,"Rovereto, Vallagarina e Monte Baldo",0,0
Arrivi,2021-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",0,0
Arrivi,2021-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",0,0
Arrivi,2021-03,Val di Sole,0,0
Arrivi,2021-03,Val di Non,0,0
Arrivi,2021-03,Provincia,11972,1961
Arrivi,2021-04,"Trento, Monte Bondone e Altopiano di Pinè",0,0
Arrivi,2021-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",0,0
Arrivi,2021-04,Val di Fiemme e Val di Cembra,0,0
Arrivi,2021-04,Val di Fassa,0,0
Arrivi,2021-04,"San Martino di Castrozza, Primiero e Vanoi",0,0
Arrivi,2021-04,"Valsugana, Tesino e Valle dei Mocheni",0,0
Arrivi,2021-04,Altipiani cimbri e Vigolana,0,0
Arrivi,2021-04,"Rovereto, Vallagarina e Monte Baldo",0,0
Arrivi,2021-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",0,0
Arrivi,2021-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",0,0
Arrivi,2021-04,Val di Sole,0,0
Arrivi,2021-04,Val di Non,0,0
Arrivi,2021-04,Provincia,12627,1670
Arrivi,2021-05,"Trento, Monte Bondone e Altopiano di Pinè",8358,1917
Arrivi,2021-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",3762,428
Arrivi,2021-05,Val di Fiemme e Val di Cembra,2840,289
Arrivi,2021-05,Val di Fassa,4521,878
Arrivi,2021-05,"San Martino di Castrozza, Primiero e Vanoi",2224,98
Arrivi,2021-05,"Valsugana, Tesino e Valle dei Mocheni",2938,723
Arrivi,2021-05,Altipiani cimbri e Vigolana,813,91
Arrivi,2021-05,"Rovereto, Vallagarina e Monte Baldo",3110,561
Arrivi,2021-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",18734,12635
Arrivi,2021-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",2457,234
Arrivi,2021-05,Val di Sole,1770,173
Arrivi,2021-05,Val di Non,3535,302
Arrivi,2021-05,Provincia,55062,18329
Arrivi,2021-06,"Trento, Monte Bondone e Altopiano di Pinè",10852,4800
Arrivi,2021-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",21043,2690
Arrivi,2021-06,Val di Fiemme e Val di Cembra,10362,1831
Arrivi,2021-06,Val di Fassa,27071,3772
Arrivi,2021-06,"San Martino di Castrozza, Primiero e Vanoi",9090,736
Arrivi,2021-06,"Valsugana, Tesino e Valle dei Mocheni",7785,3572
Arrivi,2021-06,Altipiani cimbri e Vigolana,6202,516
Arrivi,2021-06,"Rovereto, Vallagarina e Monte Baldo",4108,1277
Arrivi,2021-06,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",27012,34180
Arrivi,2021-06,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",9969,1215
Arrivi,2021-06,Val di Sole,9918,1454
Arrivi,2021-06,Val di Non,5117,1291
Arrivi,2021-06,Provincia,148529,57334
Arrivi,2021-07,"Trento, Monte Bondone e Altopiano di Pinè",19725,13525
Arrivi,2021-07,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",41807,5554
Arrivi,2021-07,Val di Fiemme e Val di Cembra,28291,3362
Arrivi,2021-07,Val di Fassa,74210,7988
Arrivi,2021-07,"San Martino di Castrozza, Primiero e Vanoi",21691,1493
Arrivi,2021-07,"Valsugana, Tesino e Valle dei Mocheni",14500,6216
Arrivi,2021-07,Altipiani cimbri e Vigolana,17068,1124
Arrivi,2021-07,"Rovereto, Vallagarina e Monte Baldo",5805,3262
Arrivi,2021-07,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",32452,62136
Arrivi,2021-07,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",33194,5152
Arrivi,2021-07,Val di Sole,36789,5048
Arrivi,2021-07,Val di Non,8534,3246
Arrivi,2021-07,Provincia,334066,118106
Arrivi,2021-08,"Trento, Monte Bondone e Altopiano di Pinè",26481,13848
Arrivi,2021-08,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",49059,4817
Arrivi,2021-08,Val di Fiemme e Val di Cembra,31778,2603
