Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2015-01,"Trento, Monte Bondone e Altopiano di Pinè",12597,4507
Arrivi,2015-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",28181,6187
Arrivi,2015-01,Val di Fiemme e Val di Cembra,16983,13227
Arrivi,2015-01,Val di Fassa,44308,26608
Arrivi,2015-01,"San Martino di Castrozza, Primiero e Vanoi",14471,2081
Arrivi,2015-01,"Valsugana, Tesino e Valle dei Mocheni",3759,443
Arrivi,2015-01,Altipiani cimbri e Vigolana,14673,6404
Arrivi,2015-01,"Rovereto, Vallagarina e Monte Baldo",5766,1515
Arrivi,2015-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10162,6689
Arrivi,2015-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",23076,12873
Arrivi,2015-01,Val di Sole,30564,20170
Arrivi,2015-01,Val di Non,4876,342
Arrivi,2015-02,"Trento, Monte Bondone e Altopiano di Pinè",11729,5186
Arrivi,2015-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",26321,8620
Arrivi,2015-02,Val di Fiemme e Val di Cembra,14112,13848
Arrivi,2015-02,Val di Fassa,41461,28487
Arrivi,2015-02,"San Martino di Castrozza, Primiero e Vanoi",15817,2250
Arrivi,2015-02,"Valsugana, Tesino e Valle dei Mocheni",3462,628
Arrivi,2015-02,Altipiani cimbri e Vigolana,15278,6240
Arrivi,2015-02,"Rovereto, Vallagarina e Monte Baldo",5256,1693
Arrivi,2015-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",7261,3135
Arrivi,2015-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",23180,12697
Arrivi,2015-02,Val di Sole,22530,28574
Arrivi,2015-02,Val di Non,4444,1040
Arrivi,2015-03,"Trento, Monte Bondone e Altopiano di Pinè",13805,6232
Arrivi,2015-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",17784,6063
Arrivi,2015-03,Val di Fiemme e Val di Cembra,10759,12608
Arrivi,2015-03,Val di Fassa,27822,19361
Arrivi,2015-03,"San Martino di Castrozza, Primiero e Vanoi",10336,1426
Arrivi,2015-03,"Valsugana, Tesino e Valle dei Mocheni",3555,936
Arrivi,2015-03,Altipiani cimbri e Vigolana,9701,3017
Arrivi,2015-03,"Rovereto, Vallagarina e Monte Baldo",5832,1532
Arrivi,2015-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10391,18129
Arrivi,2015-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",19336,8933
Arrivi,2015-03,Val di Sole,21511,21113
Arrivi,2015-03,Val di Non,3419,1279
Arrivi,2015-04,"Trento, Monte Bondone e Altopiano di Pinè",11677,5503
Arrivi,2015-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4714,2203
Arrivi,2015-04,Val di Fiemme e Val di Cembra,3759,3057
Arrivi,2015-04,Val di Fassa,6105,1963
Arrivi,2015-04,"San Martino di Castrozza, Primiero e Vanoi",3595,253
Arrivi,2015-04,"Valsugana, Tesino e Valle dei Mocheni",6842,2791
Arrivi,2015-04,Altipiani cimbri e Vigolana,3330,283
Arrivi,2015-04,"Rovereto, Vallagarina e Monte Baldo",4780,2637
Arrivi,2015-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19840,38910
Arrivi,2015-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",6231,1605
Arrivi,2015-04,Val di Sole,5002,7135
Arrivi,2015-04,Val di Non,5142,1110
Arrivi,2015-05,"Trento, Monte Bondone e Altopiano di Pinè",12514,7684
Arrivi,2015-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4525,3999
Arrivi,2015-05,Val di Fiemme e Val di Cembra,2773,2605
Arrivi,2015-05,Val di Fassa,2901,1699
Arrivi,2015-05,"San Martino di Castrozza, Primiero e Vanoi",2034,206
Arrivi,2015-05,"Valsugana, Tesino e Valle dei Mocheni",6866,7149
Arrivi,2015-05,Altipiani cimbri e Vigolana,2825,423
Arrivi,2015-05,"Rovereto, Vallagarina e Monte Baldo",4517,4283
Arrivi,2015-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",17401,55451
Arrivi,2015-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",4295,1352
Arrivi,2015-05,Val di Sole,2658,1992
Arrivi,2015-05,Val di Non,4025,1966
Arrivi,2015-06,"Trento, Monte Bondone e Altopiano di Pinè",8421,11426
Arrivi,2015-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",12544,5589
Arrivi,2015-06,Val di Fiemme e Val di Cembra,7660,5623
Arrivi,2015-06,Val di Fassa,19950,7349
Arrivi,2015-06,"San Martino di Castrozza, Primiero e Vanoi",5548,1067
Arrivi,2015-06,"Valsugana, Tesino e Valle dei Mocheni",6916,8011
Arrivi,2015-06,Altipiani cimbri e Vigolana,6587,1343
