Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2023-01,"Trento, Monte Bondone e Altopiano di Pinè",22544,6679
Arrivi,2023-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",40906,5930
Arrivi,2023-01,Val di Fiemme e Val di Cembra,21839,13441
Arrivi,2023-01,Val di Fassa,62263,27161
Arrivi,2023-01,"San Martino di Castrozza, Primiero e Vanoi",21672,2469
Arrivi,2023-01,"Valsugana, Tesino e Valle dei Mocheni",4567,698
Arrivi,2023-01,Altipiani cimbri e Vigolana,18174,6823
Arrivi,2023-01,"Rovereto, Vallagarina e Monte Baldo",7923,1269
Arrivi,2023-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",11393,5462
Arrivi,2023-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",37470,13142
Arrivi,2023-01,Val di Sole,37780,24588
Arrivi,2023-01,Val di Non,5154,307
Arrivi,2023-02,"Trento, Monte Bondone e Altopiano di Pinè",17551,9129
Arrivi,2023-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",31943,9471
Arrivi,2023-02,Val di Fiemme e Val di Cembra,16296,16093
Arrivi,2023-02,Val di Fassa,47754,36040
Arrivi,2023-02,"San Martino di Castrozza, Primiero e Vanoi",19190,4172
Arrivi,2023-02,"Valsugana, Tesino e Valle dei Mocheni",2690,934
Arrivi,2023-02,Altipiani cimbri e Vigolana,13120,8797
Arrivi,2023-02,"Rovereto, Vallagarina e Monte Baldo",6573,1840
Arrivi,2023-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",6364,3482
Arrivi,2023-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",26608,18008
Arrivi,2023-02,Val di Sole,22563,32687
Arrivi,2023-02,Val di Non,4278,593
Arrivi,2023-03,"Trento, Monte Bondone e Altopiano di Pinè",17238,7836
Arrivi,2023-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",20117,4956
Arrivi,2023-03,Val di Fiemme e Val di Cembra,10678,11982
Arrivi,2023-03,Val di Fassa,29155,23980
Arrivi,2023-03,"San Martino di Castrozza, Primiero e Vanoi",9921,1227
Arrivi,2023-03,"Valsugana, Tesino e Valle dei Mocheni",4050,569
Arrivi,2023-03,Altipiani cimbri e Vigolana,7601,4214
Arrivi,2023-03,"Rovereto, Vallagarina e Monte Baldo",5661,1231
Arrivi,2023-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9451,15305
Arrivi,2023-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",20816,11921
Arrivi,2023-03,Val di Sole,21784,20705
Arrivi,2023-03,Val di Non,2614,418
Arrivi,2023-04,"Trento, Monte Bondone e Altopiano di Pinè",15145,9691
Arrivi,2023-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4786,2350
Arrivi,2023-04,Val di Fiemme e Val di Cembra,4633,3819
Arrivi,2023-04,Val di Fassa,7176,3095
Arrivi,2023-04,"San Martino di Castrozza, Primiero e Vanoi",3168,127
Arrivi,2023-04,"Valsugana, Tesino e Valle dei Mocheni",7684,3780
Arrivi,2023-04,Altipiani cimbri e Vigolana,1053,269
Arrivi,2023-04,"Rovereto, Vallagarina e Monte Baldo",4361,3268
Arrivi,2023-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",26920,46504
