Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2016-01,"Trento, Monte Bondone e Altopiano di Pinè",13430,5372
Arrivi,2016-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",29581,7172
Arrivi,2016-01,Val di Fiemme e Val di Cembra,17456,13291
Arrivi,2016-01,Val di Fassa,49118,25916
Arrivi,2016-01,"San Martino di Castrozza, Primiero e Vanoi",15703,2197
Arrivi,2016-01,"Valsugana, Tesino e Valle dei Mocheni",4293,491
Arrivi,2016-01,Altipiani cimbri e Vigolana,14676,6482
Arrivi,2016-01,"Rovereto, Vallagarina e Monte Baldo",6111,1077
Arrivi,2016-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9933,7098
Arrivi,2016-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",23603,12964
Arrivi,2016-01,Val di Sole,31707,20029
Arrivi,2016-01,Val di Non,4537,266
Arrivi,2016-02,"Trento, Monte Bondone e Altopiano di Pinè",12845,6036
Arrivi,2016-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",28960,9021
Arrivi,2016-02,Val di Fiemme e Val di Cembra,15261,14274
Arrivi,2016-02,Val di Fassa,44478,31292
Arrivi,2016-02,"San Martino di Castrozza, Primiero e Vanoi",17241,2605
Arrivi,2016-02,"Valsugana, Tesino e Valle dei Mocheni",3384,798
Arrivi,2016-02,Altipiani cimbri e Vigolana,14582,7493
Arrivi,2016-02,"Rovereto, Vallagarina e Monte Baldo",5734,1366
Arrivi,2016-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",7169,2567
Arrivi,2016-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",23797,15138
Arrivi,2016-02,Val di Sole,22938,28239
Arrivi,2016-02,Val di Non,4153,528
Arrivi,2016-03,"Trento, Monte Bondone e Altopiano di Pinè",15209,6679
Arrivi,2016-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",24352,6724
Arrivi,2016-03,Val di Fiemme e Val di Cembra,13106,12931
Arrivi,2016-03,Val di Fassa,39959,25554
Arrivi,2016-03,"San Martino di Castrozza, Primiero e Vanoi",13211,1342
Arrivi,2016-03,"Valsugana, Tesino e Valle dei Mocheni",4555,1423
Arrivi,2016-03,Altipiani cimbri e Vigolana,12991,4127
Arrivi,2016-03,"Rovereto, Vallagarina e Monte Baldo",5952,1506
Arrivi,2016-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",12267,25861
Arrivi,2016-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",26659,11104
Arrivi,2016-03,Val di Sole,25305,23402
Arrivi,2016-03,Val di Non,3969,594
Arrivi,2016-04,"Trento, Monte Bondone e Altopiano di Pinè",12108,4999
Arrivi,2016-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",3527,2151
Arrivi,2016-04,Val di Fiemme e Val di Cembra,2160,1391
Arrivi,2016-04,Val di Fassa,2345,556
Arrivi,2016-04,"San Martino di Castrozza, Primiero e Vanoi",1713,74
Arrivi,2016-04,"Valsugana, Tesino e Valle dei Mocheni",7012,2406
Arrivi,2016-04,Altipiani cimbri e Vigolana,1478,288
Arrivi,2016-04,"Rovereto, Vallagarina e Monte Baldo",4855,1895
Arrivi,2016-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",16932,34184
Arrivi,2016-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",2887,980
Arrivi,2016-04,Val di Sole,2621,4336
Arrivi,2016-04,Val di Non,3667,639
Arrivi,2016-05,"Trento, Monte Bondone e Altopiano di Pinè",10126,9985
Arrivi,2016-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4492,5752
Arrivi,2016-05,Val di Fiemme e Val di Cembra,2189,3173
Arrivi,2016-05,Val di Fassa,1897,1935
Arrivi,2016-05,"San Martino di Castrozza, Primiero e Vanoi",1550,1004
Arrivi,2016-05,"Valsugana, Tesino e Valle dei Mocheni",5903,8287
Arrivi,2016-05,Altipiani cimbri e Vigolana,1206,566
Arrivi,2016-05,"Rovereto, Vallagarina e Monte Baldo",3997,3874
Arrivi,2016-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",12568,60037
Arrivi,2016-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",1026,572
Arrivi,2016-05,Val di Sole,1552,1819
Arrivi,2016-05,Val di Non,3038,2449
Arrivi,2016-06,"Trento, Monte Bondone e Altopiano di Pinè",10798,11815
Arrivi,2016-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",13688,5678
Arrivi,2016-06,Val di Fiemme e Val di Cembra,7814,5007
Arrivi,2016-06,Val di Fassa,19254,6662
Arrivi,2016-06,"San Martino di Castrozza, Primiero e Vanoi",5556,1902
Arrivi,2016-06,"Valsugana, Tesino e Valle dei Mocheni",8694,6459
Arrivi,2016-06,Altipiani cimbri e Vigolana,4532,1586
Arrivi,2016-06,"Rovereto, Vallagarina e Monte Baldo",4491,3452
Arrivi,2016-06,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",16147,53271
Arrivi,2016-06,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",5532,1968
Arrivi,2016-06,Val di Sole,7856,3807
Arrivi,2016-06,Val di Non,3452,2423
Arrivi,2016-07,"Trento, Monte Bondone e Altopiano di Pinè",14851,18754
Arrivi,2016-07,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",35702,6983
Arrivi,2016-07,Val di Fiemme e Val di Cembra,23930,4351
Arrivi,2016-07,Val di Fassa,64708,11260
Arrivi,2016-07,"San Martino di Castrozza, Primiero e Vanoi",19193,2401
Arrivi,2016-07,"Valsugana, Tesino e Valle dei Mocheni",11852,10463
Arrivi,2016-07,Altipiani cimbri e Vigolana,15501,2243
Arrivi,2016-07,"Rovereto, Vallagarina e Monte Baldo",5915,5988
Arrivi,2016-07,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21446,75435
Arrivi,2016-07,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",27904,6760
Arrivi,2016-07,Val di Sole,33875,5366
Arrivi,2016-07,Val di Non,8358,3982
Arrivi,2016-08,"Trento, Monte Bondone e Altopiano di Pinè",18927,16160
Arrivi,2016-08,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",41817,4948
Arrivi,2016-08,Val di Fiemme e Val di Cembra,28326,3199
Arrivi,2016-08,Val di Fassa,72700,8014
Arrivi,2016-08,"San Martino di Castrozza, Primiero e Vanoi",22896,1698
Arrivi,2016-08,"Valsugana, Tesino e Valle dei Mocheni",17011,7826
Arrivi,2016-08,Altipiani cimbri e Vigolana,16801,1846
Arrivi,2016-08,"Rovereto, Vallagarina e Monte Baldo",8228,5263
Arrivi,2016-08,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",29287,64627
Arrivi,2016-08,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",33775,4333
Arrivi,2016-08,Val di Sole,42888,4574
Arrivi,2016-08,Val di Non,10088,3895
Arrivi,2016-09,"Trento, Monte Bondone e Altopiano di Pinè",12695,14301
Arrivi,2016-09,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",16894,9209
Arrivi,2016-09,Val di Fiemme e Val di Cembra,11899,6414
Arrivi,2016-09,Val di Fassa,22429,8972
Arrivi,2016-09,"San Martino di Castrozza, Primiero e Vanoi",9662,1186
Arrivi,2016-09,"Valsugana, Tesino e Valle dei Mocheni",10270,8933
Arrivi,2016-09,Altipiani cimbri e Vigolana,5062,1675
Arrivi,2016-09,"Rovereto, Vallagarina e Monte Baldo",5510,4919
Arrivi,2016-09,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",15623,65369
Arrivi,2016-09,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",7382,3080
Arrivi,2016-09,Val di Sole,9114,6916
Arrivi,2016-09,Val di Non,5802,4476
Arrivi,2016-10,"Trento, Monte Bondone e Altopiano di Pinè",12491,7248
Arrivi,2016-10,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",5120,5588
Arrivi,2016-10,Val di Fiemme e Val di Cembra,3349,4173
Arrivi,2016-10,Val di Fassa,3112,1329
Arrivi,2016-10,"San Martino di Castrozza, Primiero e Vanoi",2882,210
Arrivi,2016-10,"Valsugana, Tesino e Valle dei Mocheni",5149,5036
Arrivi,2016-10,Altipiani cimbri e Vigolana,1374,393
Arrivi,2016-10,"Rovereto, Vallagarina e Monte Baldo",3315,3560
Arrivi,2016-10,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",15035,44853
Arrivi,2016-10,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",2417,675
Arrivi,2016-10,Val di Sole,3173,2185
Arrivi,2016-10,Val di Non,6318,2354
Arrivi,2016-11,"Trento, Monte Bondone e Altopiano di Pinè",12863,3242
Arrivi,2016-11,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",2159,783
Arrivi,2016-11,Val di Fiemme e Val di Cembra,1087,217
Arrivi,2016-11,Val di Fassa,1206,120
Arrivi,2016-11,"San Martino di Castrozza, Primiero e Vanoi",1262,43
Arrivi,2016-11,"Valsugana, Tesino e Valle dei Mocheni",4640,773
Arrivi,2016-11,Altipiani cimbri e Vigolana,706,54
Arrivi,2016-11,"Rovereto, Vallagarina e Monte Baldo",3577,1376
Arrivi,2016-11,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",8554,8603
Arrivi,2016-11,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",1507,203
Arrivi,2016-11,Val di Sole,971,221
Arrivi,2016-11,Val di Non,2246,377
Arrivi,2016-12,"Trento, Monte Bondone e Altopiano di Pinè",26457,3910
Arrivi,2016-12,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",24064,2177
Arrivi,2016-12,Val di Fiemme e Val di Cembra,20072,6544
Arrivi,2016-12,Val di Fassa,36745,7937
Arrivi,2016-12,"San Martino di Castrozza, Primiero e Vanoi",13623,535
Arrivi,2016-12,"Valsugana, Tesino e Valle dei Mocheni",15176,727
Arrivi,2016-12,Altipiani cimbri e Vigolana,12901,1075
