Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2013-01,"Trento, Monte Bondone e Altopiano di Pinè",10843,3902
Arrivi,2013-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",26718,5650
Arrivi,2013-01,Val di Fiemme e Val di Cembra,13391,13623
Arrivi,2013-01,Val di Fassa,40430,24039
Arrivi,2013-01,"San Martino di Castrozza, Primiero e Vanoi",14901,2156
Arrivi,2013-01,"Valsugana, Tesino e Valle dei Mocheni",3248,218
Arrivi,2013-01,Altipiani cimbri e Vigolana,13936,4641
Arrivi,2013-01,"Rovereto, Vallagarina e Monte Baldo",4757,1354
Arrivi,2013-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",7392,6487
Arrivi,2013-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",20789,11477
Arrivi,2013-01,Val di Sole,27772,14559
Arrivi,2013-01,Val di Non,4555,297
Arrivi,2013-01,Provincia,188732,88403
Arrivi,2013-02,"Trento, Monte Bondone e Altopiano di Pinè",10614,4208
Arrivi,2013-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",23637,8934
Arrivi,2013-02,Val di Fiemme e Val di Cembra,10390,14592
Arrivi,2013-02,Val di Fassa,36827,30663
Arrivi,2013-02,"San Martino di Castrozza, Primiero e Vanoi",15152,2284
Arrivi,2013-02,"Valsugana, Tesino e Valle dei Mocheni",2608,459
Arrivi,2013-02,Altipiani cimbri e Vigolana,15117,6053
Arrivi,2013-02,"Rovereto, Vallagarina e Monte Baldo",4226,1896
Arrivi,2013-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",5624,2063
Arrivi,2013-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",21423,11857
Arrivi,2013-02,Val di Sole,23386,23069
Arrivi,2013-02,Val di Non,4892,573
Arrivi,2013-02,Provincia,173896,106651
Arrivi,2013-03,"Trento, Monte Bondone e Altopiano di Pinè",13038,4974
Arrivi,2013-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",16866,5676
Arrivi,2013-03,Val di Fiemme e Val di Cembra,10888,13932
Arrivi,2013-03,Val di Fassa,31839,24602
Arrivi,2013-03,"San Martino di Castrozza, Primiero e Vanoi",10914,1505
Arrivi,2013-03,"Valsugana, Tesino e Valle dei Mocheni",2715,1028
Arrivi,2013-03,Altipiani cimbri e Vigolana,8425,2774
Arrivi,2013-03,"Rovereto, Vallagarina e Monte Baldo",5131,2207
Arrivi,2013-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10211,19234
Arrivi,2013-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",20655,8465
Arrivi,2013-03,Val di Sole,22996,17415
Arrivi,2013-03,Val di Non,4708,458
Arrivi,2013-03,Provincia,158386,102270
Arrivi,2013-04,"Trento, Monte Bondone e Altopiano di Pinè",7673,3985
Arrivi,2013-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",2414,856
Arrivi,2013-04,Val di Fiemme e Val di Cembra,2170,794
Arrivi,2013-04,Val di Fassa,1758,544
Arrivi,2013-04,"San Martino di Castrozza, Primiero e Vanoi",1106,92
Arrivi,2013-04,"Valsugana, Tesino e Valle dei Mocheni",4211,2376
Arrivi,2013-04,Altipiani cimbri e Vigolana,1100,125
Arrivi,2013-04,"Rovereto, Vallagarina e Monte Baldo",2651,2316
Arrivi,2013-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",13864,29350
Arrivi,2013-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",2113,549
Arrivi,2013-04,Val di Sole,2552,2651
Arrivi,2013-04,Val di Non,3504,832
Arrivi,2013-04,Provincia,45116,44470
Arrivi,2013-05,"Trento, Monte Bondone e Altopiano di Pinè",9064,8663
Arrivi,2013-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",2566,2535
Arrivi,2013-05,Val di Fiemme e Val di Cembra,1462,1633
Arrivi,2013-05,Val di Fassa,1648,2119
Arrivi,2013-05,"San Martino di Castrozza, Primiero e Vanoi",1034,229
Arrivi,2013-05,"Valsugana, Tesino e Valle dei Mocheni",4179,6547
Arrivi,2013-05,Altipiani cimbri e Vigolana,656,571
Arrivi,2013-05,"Rovereto, Vallagarina e Monte Baldo",3230,4066
Arrivi,2013-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10079,56321
Arrivi,2013-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",1396,480
Arrivi,2013-05,Val di Sole,2611,1892
Arrivi,2013-05,Val di Non,2511,2181
