Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2020-01,"Trento, Monte Bondone e Altopiano di Pinè",20742,6668
Arrivi,2020-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",37936,6913
Arrivi,2020-01,Val di Fiemme e Val di Cembra,19089,14435
Arrivi,2020-01,Val di Fassa,53355,29088
Arrivi,2020-01,"San Martino di Castrozza, Primiero e Vanoi",19028,2824
Arrivi,2020-01,"Valsugana, Tesino e Valle dei Mocheni",6559,598
Arrivi,2020-01,Altipiani cimbri e Vigolana,17922,5388
Arrivi,2020-01,"Rovereto, Vallagarina e Monte Baldo",7548,1308
Arrivi,2020-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",12653,7999
Arrivi,2020-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",31820,14421
Arrivi,2020-01,Val di Sole,33357,23893
Arrivi,2020-01,Val di Non,4877,421
Arrivi,2020-02,"Trento, Monte Bondone e Altopiano di Pinè",16239,9844
Arrivi,2020-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",32757,10550
Arrivi,2020-02,Val di Fiemme e Val di Cembra,16781,18321
Arrivi,2020-02,Val di Fassa,48487,40472
Arrivi,2020-02,"San Martino di Castrozza, Primiero e Vanoi",18393,4754
Arrivi,2020-02,"Valsugana, Tesino e Valle dei Mocheni",4429,1155
Arrivi,2020-02,Altipiani cimbri e Vigolana,13536,9767
Arrivi,2020-02,"Rovereto, Vallagarina e Monte Baldo",5936,1641
Arrivi,2020-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",8841,3965
Arrivi,2020-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",26987,19598
Arrivi,2020-02,Val di Sole,26366,36732
Arrivi,2020-02,Val di Non,4739,616
Arrivi,2020-03,"Trento, Monte Bondone e Altopiano di Pinè",0,0
Arrivi,2020-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",0,0
Arrivi,2020-03,Val di Fiemme e Val di Cembra,0,0
Arrivi,2020-03,Val di Fassa,0,0
Arrivi,2020-03,"San Martino di Castrozza, Primiero e Vanoi",0,0
Arrivi,2020-03,"Valsugana, Tesino e Valle dei Mocheni",0,0
Arrivi,2020-03,Altipiani cimbri e Vigolana,0,0
Arrivi,2020-03,"Rovereto, Vallagarina e Monte Baldo",0,0
Arrivi,2020-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",0,0
