Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2018-01,"Trento, Monte Bondone e Altopiano di Pinè",16086,5103
Arrivi,2018-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",34186,7430
Arrivi,2018-01,Val di Fiemme e Val di Cembra,17309,14402
Arrivi,2018-01,Val di Fassa,49902,27668
Arrivi,2018-01,"San Martino di Castrozza, Primiero e Vanoi",17359,2404
Arrivi,2018-01,"Valsugana, Tesino e Valle dei Mocheni",5117,518
Arrivi,2018-01,Altipiani cimbri e Vigolana,17455,6666
Arrivi,2018-01,"Rovereto, Vallagarina e Monte Baldo",6410,1405
Arrivi,2018-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9191,7378
Arrivi,2018-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",28384,13362
Arrivi,2018-01,Val di Sole,32702,21640
Arrivi,2018-01,Val di Non,5043,432
Arrivi,2018-01,Provincia,239144,108408
Arrivi,2018-02,"Trento, Monte Bondone e Altopiano di Pinè",14132,6751
Arrivi,2018-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",32184,9395
Arrivi,2018-02,Val di Fiemme e Val di Cembra,16625,16006
Arrivi,2018-02,Val di Fassa,44973,34715
Arrivi,2018-02,"San Martino di Castrozza, Primiero e Vanoi",17766,2830
Arrivi,2018-02,"Valsugana, Tesino e Valle dei Mocheni",4103,1287
Arrivi,2018-02,Altipiani cimbri e Vigolana,15880,7996
Arrivi,2018-02,"Rovereto, Vallagarina e Monte Baldo",6322,1862
Arrivi,2018-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",8562,3214
Arrivi,2018-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",25339,15963
Arrivi,2018-02,Val di Sole,24054,31447
Arrivi,2018-02,Val di Non,4411,382
Arrivi,2018-02,Provincia,214351,131848
Arrivi,2018-03,"Trento, Monte Bondone e Altopiano di Pinè",15271,7730
Arrivi,2018-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",26291,6173
Arrivi,2018-03,Val di Fiemme e Val di Cembra,14938,14748
Arrivi,2018-03,Val di Fassa,38241,29237
Arrivi,2018-03,"San Martino di Castrozza, Primiero e Vanoi",11653,1845
Arrivi,2018-03,"Valsugana, Tesino e Valle dei Mocheni",6003,1661
Arrivi,2018-03,Altipiani cimbri e Vigolana,12773,4564
Arrivi,2018-03,"Rovereto, Vallagarina e Monte Baldo",5692,1642
Arrivi,2018-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10793,22585
Arrivi,2018-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",27123,11416
Arrivi,2018-03,Val di Sole,25843,25214
Arrivi,2018-03,Val di Non,3833,734
Arrivi,2018-03,Provincia,198454,127549
Arrivi,2018-04,"Trento, Monte Bondone e Altopiano di Pinè",12639,6380
Arrivi,2018-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4117,2786
Arrivi,2018-04,Val di Fiemme e Val di Cembra,2729,1514
Arrivi,2018-04,Val di Fassa,4181,1072
Arrivi,2018-04,"San Martino di Castrozza, Primiero e Vanoi",2277,87
Arrivi,2018-04,"Valsugana, Tesino e Valle dei Mocheni",8077,3813
Arrivi,2018-04,Altipiani cimbri e Vigolana,2472,398
Arrivi,2018-04,"Rovereto, Vallagarina e Monte Baldo",3709,2898
Arrivi,2018-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",20636,38738
Arrivi,2018-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",4558,2644
Arrivi,2018-04,Val di Sole,2769,3509
Arrivi,2018-04,Val di Non,4029,1293
Arrivi,2018-04,Provincia,72193,65132
Arrivi,2018-05,"Trento, Monte Bondone e Altopiano di Pinè",15410,10227
Arrivi,2018-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",5883,5402
Arrivi,2018-05,Val di Fiemme e Val di Cembra,3987,3447
Arrivi,2018-05,Val di Fassa,2482,1935
Arrivi,2018-05,"San Martino di Castrozza, Primiero e Vanoi",970,598
Arrivi,2018-05,"Valsugana, Tesino e Valle dei Mocheni",9354,7940
Arrivi,2018-05,Altipiani cimbri e Vigolana,3631,792
Arrivi,2018-05,"Rovereto, Vallagarina e Monte Baldo",4610,3938
Arrivi,2018-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",15765,57255
Arrivi,2018-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",1324,1108
Arrivi,2018-05,Val di Sole,2979,1756
Arrivi,2018-05,Val di Non,4439,3385
Arrivi,2018-05,Provincia,70834,97783
Arrivi,2018-06,"Trento, Monte Bondone e Altopiano di Pinè",13140,14295
Arrivi,2018-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",22623,6839
Arrivi,2018-06,Val di Fiemme e Val di Cembra,10645,5929
Arrivi,2018-06,Val di Fassa,25751,8399
Arrivi,2018-06,"San Martino di Castrozza, Primiero e Vanoi",7717,2037
Arrivi,2018-06,"Valsugana, Tesino e Valle dei Mocheni",9440,8230
Arrivi,2018-06,Altipiani cimbri e Vigolana,7180,2093
Arrivi,2018-06,"Rovereto, Vallagarina e Monte Baldo",4552,4008
Arrivi,2018-06,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19377,57630
Arrivi,2018-06,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",8480,3714
Arrivi,2018-06,Val di Sole,10082,4343
Arrivi,2018-06,Val di Non,4473,3828
Arrivi,2018-06,Provincia,143460,121345
Arrivi,2018-07,"Trento, Monte Bondone e Altopiano di Pinè",16200,18746
Arrivi,2018-07,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",35418,7573
Arrivi,2018-07,Val di Fiemme e Val di Cembra,23502,5363
Arrivi,2018-07,Val di Fassa,63706,11999
Arrivi,2018-07,"San Martino di Castrozza, Primiero e Vanoi",19470,2309
Arrivi,2018-07,"Valsugana, Tesino e Valle dei Mocheni",13036,9011
Arrivi,2018-07,Altipiani cimbri e Vigolana,15729,2054
Arrivi,2018-07,"Rovereto, Vallagarina e Monte Baldo",5671,4724
Arrivi,2018-07,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21793,71718
Arrivi,2018-07,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",27577,7111
Arrivi,2018-07,Val di Sole,39799,6411
Arrivi,2018-07,Val di Non,8709,4485
Arrivi,2018-07,Provincia,290610,151504
