Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2017-01,"Trento, Monte Bondone e Altopiano di Pinè",13990,4712
Arrivi,2017-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",32821,6512
Arrivi,2017-01,Val di Fiemme e Val di Cembra,17113,13039
Arrivi,2017-01,Val di Fassa,46378,23156
Arrivi,2017-01,"San Martino di Castrozza, Primiero e Vanoi",14189,1546
Arrivi,2017-01,"Valsugana, Tesino e Valle dei Mocheni",5888,511
Arrivi,2017-01,Altipiani cimbri e Vigolana,15913,5946
Arrivi,2017-01,"Rovereto, Vallagarina e Monte Baldo",6340,1486
Arrivi,2017-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10127,6987
Arrivi,2017-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",24456,12499
Arrivi,2017-01,Val di Sole,31758,18419
Arrivi,2017-01,Val di Non,4955,299
Arrivi,2017-01,Provincia,223928,95112
Arrivi,2017-02,"Trento, Monte Bondone e Altopiano di Pinè",12442,6421
Arrivi,2017-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",27803,9812
Arrivi,2017-02,Val di Fiemme e Val di Cembra,14425,15890
Arrivi,2017-02,Val di Fassa,41116,32932
Arrivi,2017-02,"San Martino di Castrozza, Primiero e Vanoi",16674,2560
Arrivi,2017-02,"Valsugana, Tesino e Valle dei Mocheni",3387,1307
Arrivi,2017-02,Altipiani cimbri e Vigolana,14309,8330
Arrivi,2017-02,"Rovereto, Vallagarina e Monte Baldo",6206,1457
Arrivi,2017-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",6270,2605
Arrivi,2017-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",23541,17193
Arrivi,2017-02,Val di Sole,21573,30799
Arrivi,2017-02,Val di Non,4663,475
Arrivi,2017-02,Provincia,192409,129781
Arrivi,2017-03,"Trento, Monte Bondone e Altopiano di Pinè",14467,6212
Arrivi,2017-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",21519,6457
Arrivi,2017-03,Val di Fiemme e Val di Cembra,14074,12265
Arrivi,2017-03,Val di Fassa,32713,22600
Arrivi,2017-03,"San Martino di Castrozza, Primiero e Vanoi",11118,1184
Arrivi,2017-03,"Valsugana, Tesino e Valle dei Mocheni",5176,1286
Arrivi,2017-03,Altipiani cimbri e Vigolana,10909,3976
Arrivi,2017-03,"Rovereto, Vallagarina e Monte Baldo",5613,1379
Arrivi,2017-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",11373,14497
Arrivi,2017-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",22565,10954
Arrivi,2017-03,Val di Sole,22751,20806
Arrivi,2017-03,Val di Non,3844,450
Arrivi,2017-03,Provincia,176122,102066
Arrivi,2017-04,"Trento, Monte Bondone e Altopiano di Pinè",14469,7003
Arrivi,2017-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",8696,2733
Arrivi,2017-04,Val di Fiemme e Val di Cembra,3874,4114
Arrivi,2017-04,Val di Fassa,3609,1235
Arrivi,2017-04,"San Martino di Castrozza, Primiero e Vanoi",3473,266
Arrivi,2017-04,"Valsugana, Tesino e Valle dei Mocheni",11112,3891
Arrivi,2017-04,Altipiani cimbri e Vigolana,2357,277
Arrivi,2017-04,"Rovereto, Vallagarina e Monte Baldo",4448,4065
Arrivi,2017-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",23033,50339
Arrivi,2017-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",4586,2567
Arrivi,2017-04,Val di Sole,3614,8382
Arrivi,2017-04,Val di Non,6113,2014
Arrivi,2017-04,Provincia,89384,86886
Arrivi,2017-05,"Trento, Monte Bondone e Altopiano di Pinè",10901,8957
Arrivi,2017-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",3140,4662
Arrivi,2017-05,Val di Fiemme e Val di Cembra,1918,3126
Arrivi,2017-05,Val di Fassa,4139,2689
Arrivi,2017-05,"San Martino di Castrozza, Primiero e Vanoi",1108,232
Arrivi,2017-05,"Valsugana, Tesino e Valle dei Mocheni",5253,6705
Arrivi,2017-05,Altipiani cimbri e Vigolana,1121,659
Arrivi,2017-05,"Rovereto, Vallagarina e Monte Baldo",3478,4108
Arrivi,2017-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",12821,49042
Arrivi,2017-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",1176,745
Arrivi,2017-05,Val di Sole,2273,1690
Arrivi,2017-05,Val di Non,3252,2837
Arrivi,2017-05,Provincia,50580,85452
Arrivi,2017-06,"Trento, Monte Bondone e Altopiano di Pinè",12325,14285
Arrivi,2017-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",18676,6943
Arrivi,2017-06,Val di Fiemme e Val di Cembra,9944,6377
Arrivi,2017-06,Val di Fassa,23800,8215
Arrivi,2017-06,"San Martino di Castrozza, Primiero e Vanoi",8189,1271
Arrivi,2017-06,"Valsugana, Tesino e Valle dei Mocheni",10537,8591
Arrivi,2017-06,Altipiani cimbri e Vigolana,8117,2099
Arrivi,2017-06,"Rovereto, Vallagarina e Monte Baldo",4404,3950
Arrivi,2017-06,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",20088,62312
Arrivi,2017-06,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",8389,2542
Arrivi,2017-06,Val di Sole,8678,4398
Arrivi,2017-06,Val di Non,4459,4015
Arrivi,2017-06,Provincia,137606,124998
Arrivi,2017-07,"Trento, Monte Bondone e Altopiano di Pinè",17788,18711
Arrivi,2017-07,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",38043,6785
Arrivi,2017-07,Val di Fiemme e Val di Cembra,25114,5426
Arrivi,2017-07,Val di Fassa,67907,11671
Arrivi,2017-07,"San Martino di Castrozza, Primiero e Vanoi",21027,2956
Arrivi,2017-07,"Valsugana, Tesino e Valle dei Mocheni",13666,9710
Arrivi,2017-07,Altipiani cimbri e Vigolana,16766,2660
Arrivi,2017-07,"Rovereto, Vallagarina e Monte Baldo",4980,4913
Arrivi,2017-07,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",22291,75282
Arrivi,2017-07,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",30900,6498
Arrivi,2017-07,Val di Sole,39773,5673
Arrivi,2017-07,Val di Non,9214,4495
Arrivi,2017-07,Provincia,307469,154780
Arrivi,2017-08,"Trento, Monte Bondone e Altopiano di Pinè",21185,16115
Arrivi,2017-08,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",43055,4337
Arrivi,2017-08,Val di Fiemme e Val di Cembra,29426,3149
Arrivi,2017-08,Val di Fassa,74761,8533
Arrivi,2017-08,"San Martino di Castrozza, Primiero e Vanoi",24539,1459
Arrivi,2017-08,"Valsugana, Tesino e Valle dei Mocheni",18928,7978
Arrivi,2017-08,Altipiani cimbri e Vigolana,18789,1633
Arrivi,2017-08,"Rovereto, Vallagarina e Monte Baldo",6950,4889
Arrivi,2017-08,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",32407,63386
Arrivi,2017-08,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",38177,4798
Arrivi,2017-08,Val di Sole,45258,4953
Arrivi,2017-08,Val di Non,10575,3969
Arrivi,2017-08,Provincia,364050,125199
Arrivi,2017-09,"Trento, Monte Bondone e Altopiano di Pinè",14204,14762
Arrivi,2017-09,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",16458,8677
Arrivi,2017-09,Val di Fiemme e Val di Cembra,10911,7204
Arrivi,2017-09,Val di Fassa,21623,8146
Arrivi,2017-09,"San Martino di Castrozza, Primiero e Vanoi",10121,1224
Arrivi,2017-09,"Valsugana, Tesino e Valle dei Mocheni",10861,9588
Arrivi,2017-09,Altipiani cimbri e Vigolana,5033,2296
Arrivi,2017-09,"Rovereto, Vallagarina e Monte Baldo",4255,5246
Arrivi,2017-09,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",14325,65062
Arrivi,2017-09,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",7650,3215
Arrivi,2017-09,Val di Sole,9316,5630
Arrivi,2017-09,Val di Non,6874,4421
Arrivi,2017-09,Provincia,131631,135471
Arrivi,2017-10,"Trento, Monte Bondone e Altopiano di Pinè",11902,7670
Arrivi,2017-10,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4780,4508
Arrivi,2017-10,Val di Fiemme e Val di Cembra,3416,4270
Arrivi,2017-10,Val di Fassa,3785,1387
Arrivi,2017-10,"San Martino di Castrozza, Primiero e Vanoi",2839,338
Arrivi,2017-10,"Valsugana, Tesino e Valle dei Mocheni",4458,4744
Arrivi,2017-10,Altipiani cimbri e Vigolana,839,242
Arrivi,2017-10,"Rovereto, Vallagarina e Monte Baldo",2770,3518
Arrivi,2017-10,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",14349,45490
Arrivi,2017-10,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e
          Valle del Chiese",1980,784
Arrivi,2017-10,Val di Sole,2630,1971
Arrivi,2017-10,Val di Non,5853,2389
Arrivi,2017-10,Provincia,59601,77311
Arrivi,2017-11,"Trento, Monte Bondone e Altopiano di Pinè",13942,3074
Arrivi,2017-11,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",2622,791
Arrivi,2017-11,Val di Fiemme e Val di Cembra,1474,398
