Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2024-01,"Trento, Monte Bondone e Altopiano di Pinè",21191,7034
Arrivi,2024-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",39133,7409
Arrivi,2024-01,Val di Fiemme e Val di Cembra,20717,15588
Arrivi,2024-01,Val di Fassa,62597,31481
Arrivi,2024-01,"San Martino di Castrozza, Primiero e Vanoi",21742,3420
Arrivi,2024-01,"Valsugana, Tesino e Valle dei Mocheni",4132,602
Arrivi,2024-01,Altipiani cimbri e Vigolana,15357,8183
Arrivi,2024-01,"Rovereto, Vallagarina e Monte Baldo",8308,1565
Arrivi,2024-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9883,5980
Arrivi,2024-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",34371,16472
Arrivi,2024-01,Val di Sole,31967,29256
Arrivi,2024-01,Val di Non,4585,320
Arrivi,2024-01,Provincia,273983,127310
Arrivi,2024-02,"Trento, Monte Bondone e Altopiano di Pinè",18299,8661
Arrivi,2024-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",31746,11077
Arrivi,2024-02,Val di Fiemme e Val di Cembra,15849,18247
Arrivi,2024-02,Val di Fassa,48255,38955
Arrivi,2024-02,"San Martino di Castrozza, Primiero e Vanoi",18460,4414
Arrivi,2024-02,"Valsugana, Tesino e Valle dei Mocheni",2793,812
Arrivi,2024-02,Altipiani cimbri e Vigolana,12130,8780
Arrivi,2024-02,"Rovereto, Vallagarina e Monte Baldo",6973,1991
Arrivi,2024-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",6394,3988
Arrivi,2024-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",25727,19278
Arrivi,2024-02,Val di Sole,22347,34075
Arrivi,2024-02,Val di Non,3852,466
Arrivi,2024-02,Provincia,212825,150744
Arrivi,2024-03,"Trento, Monte Bondone e Altopiano di Pinè",18556,8531
Arrivi,2024-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",21469,6129
Arrivi,2024-03,Val di Fiemme e Val di Cembra,12118,15086
Arrivi,2024-03,Val di Fassa,34505,27264
Arrivi,2024-03,"San Martino di Castrozza, Primiero e Vanoi",12615,1721
Arrivi,2024-03,"Valsugana, Tesino e Valle dei Mocheni",4946,786
Arrivi,2024-03,Altipiani cimbri e Vigolana,8533,3723
Arrivi,2024-03,"Rovereto, Vallagarina e Monte Baldo",6596,1810
Arrivi,2024-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10121,23202
Arrivi,2024-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",26014,14378
Arrivi,2024-03,Val di Sole,21874,28318
Arrivi,2024-03,Val di Non,3175,599
Arrivi,2024-03,Provincia,180522,131547
