Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2022-01,"Trento, Monte Bondone e Altopiano di Pinè",15044,3375
Arrivi,2022-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",30163,2916
Arrivi,2022-01,Val di Fiemme e Val di Cembra,18894,8637
Arrivi,2022-01,Val di Fassa,51498,18062
Arrivi,2022-01,"San Martino di Castrozza, Primiero e Vanoi",15636,1380
Arrivi,2022-01,"Valsugana, Tesino e Valle dei Mocheni",3840,317
Arrivi,2022-01,Altipiani cimbri e Vigolana,15485,3559
Arrivi,2022-01,"Rovereto, Vallagarina e Monte Baldo",4667,635
Arrivi,2022-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",8596,2409
Arrivi,2022-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",31583,8343
Arrivi,2022-01,Val di Sole,28688,16568
Arrivi,2022-01,Val di Non,3470,105
Arrivi,2022-02,"Trento, Monte Bondone e Altopiano di Pinè",15428,5511
Arrivi,2022-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",30231,6429
Arrivi,2022-02,Val di Fiemme e Val di Cembra,16829,11749
Arrivi,2022-02,Val di Fassa,45535,25738
Arrivi,2022-02,"San Martino di Castrozza, Primiero e Vanoi",15553,2043
Arrivi,2022-02,"Valsugana, Tesino e Valle dei Mocheni",2905,380
Arrivi,2022-02,Altipiani cimbri e Vigolana,13665,4635
Arrivi,2022-02,"Rovereto, Vallagarina e Monte Baldo",5162,1099
Arrivi,2022-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",5854,2186
Arrivi,2022-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",27261,13838
Arrivi,2022-02,Val di Sole,22339,23381
Arrivi,2022-02,Val di Non,3930,189
Arrivi,2022-03,"Trento, Monte Bondone e Altopiano di Pinè",13538,5617
Arrivi,2022-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",17552,4049
Arrivi,2022-03,Val di Fiemme e Val di Cembra,10033,9038
Arrivi,2022-03,Val di Fassa,28687,17963
Arrivi,2022-03,"San Martino di Castrozza, Primiero e Vanoi",8565,903
Arrivi,2022-03,"Valsugana, Tesino e Valle dei Mocheni",2099,523
Arrivi,2022-03,Altipiani cimbri e Vigolana,6820,2489
Arrivi,2022-03,"Rovereto, Vallagarina e Monte Baldo",3974,835
Arrivi,2022-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9538,10036
Arrivi,2022-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",20467,9074
Arrivi,2022-03,Val di Sole,18166,16763
Arrivi,2022-03,Val di Non,2466,286
Arrivi,2022-04,"Trento, Monte Bondone e Altopiano di Pinè",13317,7620
Arrivi,2022-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",4003,1540
Arrivi,2022-04,Val di Fiemme e Val di Cembra,4309,2870
Arrivi,2022-04,Val di Fassa,4759,2025
Arrivi,2022-04,"San Martino di Castrozza, Primiero e Vanoi",3208,376
Arrivi,2022-04,"Valsugana, Tesino e Valle dei Mocheni",5266,3059
Arrivi,2022-04,Altipiani cimbri e Vigolana,1371,299
Arrivi,2022-04,"Rovereto, Vallagarina e Monte Baldo",3163,2361
Arrivi,2022-04,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21961,38876
Arrivi,2022-04,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",5781,2197
Arrivi,2022-04,Val di Sole,5156,6400
Arrivi,2022-04,Val di Non,4195,1140
Arrivi,2022-05,"Trento, Monte Bondone e Altopiano di Pinè",13291,9736
Arrivi,2022-05,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",5657,4220
Arrivi,2022-05,Val di Fiemme e Val di Cembra,3790,2030
Arrivi,2022-05,Val di Fassa,3768,2249
Arrivi,2022-05,"San Martino di Castrozza, Primiero e Vanoi",1346,207
Arrivi,2022-05,"Valsugana, Tesino e Valle dei Mocheni",8274,6459
Arrivi,2022-05,Altipiani cimbri e Vigolana,3347,1169
Arrivi,2022-05,"Rovereto, Vallagarina e Monte Baldo",3985,2915
Arrivi,2022-05,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19952,47610
Arrivi,2022-05,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",2260,785
Arrivi,2022-05,Val di Sole,1903,1575
Arrivi,2022-05,Val di Non,3806,2116
Arrivi,2022-06,"Trento, Monte Bondone e Altopiano di Pinè",14162,15769
Arrivi,2022-06,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",25754,7642
Arrivi,2022-06,Val di Fiemme e Val di Cembra,12450,5699
Arrivi,2022-06,Val di Fassa,33419,10538
Arrivi,2022-06,"San Martino di Castrozza, Primiero e Vanoi",10377,1738
Arrivi,2022-06,"Valsugana, Tesino e Valle dei Mocheni",11222,8427
Arrivi,2022-06,Altipiani cimbri e Vigolana,8830,1787
Arrivi,2022-06,"Rovereto, Vallagarina e Monte Baldo",4937,4522
Arrivi,2022-06,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",24393,64519
Arrivi,2022-06,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",13173,4238
Arrivi,2022-06,Val di Sole,12321,5035
Arrivi,2022-06,Val di Non,5115,3342
Arrivi,2022-07,"Trento, Monte Bondone e Altopiano di Pinè",20411,20455
Arrivi,2022-07,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",44525,7034
Arrivi,2022-07,Val di Fiemme e Val di Cembra,29409,4741
Arrivi,2022-07,Val di Fassa,78187,13491
Arrivi,2022-07,"San Martino di Castrozza, Primiero e Vanoi",23012,2741
Arrivi,2022-07,"Valsugana, Tesino e Valle dei Mocheni",16027,8743
Arrivi,2022-07,Altipiani cimbri e Vigolana,19156,2013
Arrivi,2022-07,"Rovereto, Vallagarina e Monte Baldo",6915,4780
Arrivi,2022-07,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",28955,75045
Arrivi,2022-07,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",36193,7536
Arrivi,2022-07,Val di Sole,43924,6697
Arrivi,2022-07,Val di Non,9269,3850
Arrivi,2022-08,"Trento, Monte Bondone e Altopiano di Pinè",24061,16862
Arrivi,2022-08,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",44418,4922
Arrivi,2022-08,Val di Fiemme e Val di Cembra,29088,2630
Arrivi,2022-08,Val di Fassa,76303,8627
Arrivi,2022-08,"San Martino di Castrozza, Primiero e Vanoi",23058,1677
Arrivi,2022-08,"Valsugana, Tesino e Valle dei Mocheni",18634,6850
Arrivi,2022-08,Altipiani cimbri e Vigolana,18203,1382
Arrivi,2022-08,"Rovereto, Vallagarina e Monte Baldo",8043,3639
Arrivi,2022-08,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",36515,61409
Arrivi,2022-08,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",39517,4373
Arrivi,2022-08,Val di Sole,46267,4920
Arrivi,2022-08,Val di Non,10077,3250
Arrivi,2022-09,"Trento, Monte Bondone e Altopiano di Pinè",14921,16883
Arrivi,2022-09,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",19695,9695
Arrivi,2022-09,Val di Fiemme e Val di Cembra,13085,6441
Arrivi,2022-09,Val di Fassa,31929,11773
Arrivi,2022-09,"San Martino di Castrozza, Primiero e Vanoi",11717,2203
Arrivi,2022-09,"Valsugana, Tesino e Valle dei Mocheni",11268,8483
Arrivi,2022-09,Altipiani cimbri e Vigolana,5874,1907
Arrivi,2022-09,"Rovereto, Vallagarina e Monte Baldo",5013,4130
Arrivi,2022-09,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21008,61461
Arrivi,2022-09,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",12242,4777
Arrivi,2022-09,Val di Sole,12511,6746
Arrivi,2022-09,Val di Non,6288,4326
Arrivi,2022-10,"Trento, Monte Bondone e Altopiano di Pinè",16521,9847
Arrivi,2022-10,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",6874,3973
Arrivi,2022-10,Val di Fiemme e Val di Cembra,4242,2870
Arrivi,2022-10,Val di Fassa,7574,2959
Arrivi,2022-10,"San Martino di Castrozza, Primiero e Vanoi",6185,559
Arrivi,2022-10,"Valsugana, Tesino e Valle dei Mocheni",5842,3345
Arrivi,2022-10,Altipiani cimbri e Vigolana,1234,357
Arrivi,2022-10,"Rovereto, Vallagarina e Monte Baldo",4166,2738
Arrivi,2022-10,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",23471,39329
Arrivi,2022-10,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",3956,1088
Arrivi,2022-10,Val di Sole,3441,2184
Arrivi,2022-10,Val di Non,6390,2148
Arrivi,2022-11,"Trento, Monte Bondone e Altopiano di Pinè",16794,4143
Arrivi,2022-11,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",2322,637
Arrivi,2022-11,Val di Fiemme e Val di Cembra,1023,662
Arrivi,2022-11,Val di Fassa,3329,442
Arrivi,2022-11,"San Martino di Castrozza, Primiero e Vanoi",1558,101
Arrivi,2022-11,"Valsugana, Tesino e Valle dei Mocheni",3320,489
Arrivi,2022-11,Altipiani cimbri e Vigolana,146,13
Arrivi,2022-11,"Rovereto, Vallagarina e Monte Baldo",3211,1042
Arrivi,2022-11,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",9539,7364
Arrivi,2022-11,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",3435,788
Arrivi,2022-11,Val di Sole,934,327
Arrivi,2022-11,Val di Non,2453,386
Arrivi,2022-12,"Trento, Monte Bondone e Altopiano di Pinè",29851,5094
Arrivi,2022-12,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",25833,3135
Arrivi,2022-12,Val di Fiemme e Val di Cembra,22603,9549
Arrivi,2022-12,Val di Fassa,49772,12332
Arrivi,2022-12,"San Martino di Castrozza, Primiero e Vanoi",16449,1030
Arrivi,2022-12,"Valsugana, Tesino e Valle dei Mocheni",9132,512
Arrivi,2022-12,Altipiani cimbri e Vigolana,13409,2151
Arrivi,2022-12,"Rovereto, Vallagarina e Monte Baldo",7082,947
Arrivi,2022-12,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19170,5594
Arrivi,2022-12,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",33206,8541
Arrivi,2022-12,Val di Sole,32586,16495
Arrivi,2022-12,Val di Non,6434,824
Presenze,2022-01,"Trento, Monte Bondone e Altopiano di Pinè",36680,13080
Presenze,2022-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",115759,14968
Presenze,2022-01,Val di Fiemme e Val di Cembra,60445,43152
Presenze,2022-01,Val di Fassa,208760,102203
Presenze,2022-01,"San Martino di Castrozza, Primiero e Vanoi",54367,6765
Presenze,2022-01,"Valsugana, Tesino e Valle dei Mocheni",11101,1545
Presenze,2022-01,Altipiani cimbri e Vigolana,51516,18509
Presenze,2022-01,"Rovereto, Vallagarina e Monte Baldo",19142,2302
Presenze,2022-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21821,7674
Presenze,2022-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",119709,43534
Presenze,2022-01,Val di Sole,124786,93705
Presenze,2022-01,Val di Non,9302,488
Presenze,2022-02,"Trento, Monte Bondone e Altopiano di Pinè",29853,21741
Presenze,2022-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",106967,32314
Presenze,2022-02,Val di Fiemme e Val di Cembra,45994,64786
Presenze,2022-02,Val di Fassa,168321,144828
Presenze,2022-02,"San Martino di Castrozza, Primiero e Vanoi",51758,12148
Presenze,2022-02,"Valsugana, Tesino e Valle dei Mocheni",6445,1411
Presenze,2022-02,Altipiani cimbri e Vigolana,41768,27305
Presenze,2022-02,"Rovereto, Vallagarina e Monte Baldo",13683,5019
Presenze,2022-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10453,4912
Presenze,2022-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",100689,81289
Presenze,2022-02,Val di Sole,86118,138618
