Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2014-01,"Trento, Monte Bondone e Altopiano di Pinè",12008,3753
Arrivi,2014-01,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",28217,5508
Arrivi,2014-01,Val di Fiemme e Val di Cembra,13930,13653
Arrivi,2014-01,Val di Fassa,41832,24310
Arrivi,2014-01,"San Martino di Castrozza, Primiero e Vanoi",15198,1837
Arrivi,2014-01,"Valsugana, Tesino e Valle dei Mocheni",4033,343
Arrivi,2014-01,Altipiani cimbri e Vigolana,14516,4457
Arrivi,2014-01,"Rovereto, Vallagarina e Monte Baldo",5869,1390
Arrivi,2014-01,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",8107,6824
Arrivi,2014-01,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",21864,11844
Arrivi,2014-01,Val di Sole,28142,15946
Arrivi,2014-01,Val di Non,4871,254
Arrivi,2014-01,Provincia,198587,90119
Arrivi,2014-02,"Trento, Monte Bondone e Altopiano di Pinè",10581,4743
Arrivi,2014-02,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",24081,11200
Arrivi,2014-02,Val di Fiemme e Val di Cembra,11338,15105
Arrivi,2014-02,Val di Fassa,36844,28867
Arrivi,2014-02,"San Martino di Castrozza, Primiero e Vanoi",13453,3700
Arrivi,2014-02,"Valsugana, Tesino e Valle dei Mocheni",3120,452
Arrivi,2014-02,Altipiani cimbri e Vigolana,11819,7367
Arrivi,2014-02,"Rovereto, Vallagarina e Monte Baldo",4606,1669
Arrivi,2014-02,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",4575,2605
Arrivi,2014-02,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",21073,12838
Arrivi,2014-02,Val di Sole,22746,24605
Arrivi,2014-02,Val di Non,4536,433
Arrivi,2014-02,Provincia,168772,113584
Arrivi,2014-03,"Trento, Monte Bondone e Altopiano di Pinè",13590,4785
Arrivi,2014-03,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",19005,7594
Arrivi,2014-03,Val di Fiemme e Val di Cembra,11582,13100
Arrivi,2014-03,Val di Fassa,33434,25784
Arrivi,2014-03,"San Martino di Castrozza, Primiero e Vanoi",12246,1486
Arrivi,2014-03,"Valsugana, Tesino e Valle dei Mocheni",3937,640
Arrivi,2014-03,Altipiani cimbri e Vigolana,11350,3894
Arrivi,2014-03,"Rovereto, Vallagarina e Monte Baldo",4920,1526
Arrivi,2014-03,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",7190,14463
Arrivi,2014-03,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",21168,10383
Arrivi,2014-03,Val di Sole,23322,24100
Arrivi,2014-03,Val di Non,4673,694
Arrivi,2014-03,Provincia,166417,108449
Arrivi,2014-04,"Trento, Monte Bondone e Altopiano di Pinè",11170,4937
Arrivi,2014-04,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",3380,2028
Arrivi,2014-04,Val di Fiemme e Val di Cembra,3285,3197
Arrivi,2014-04,Val di Fassa,2860,972
Arrivi,2014-04,"San Martino di Castrozza, Primiero e Vanoi",2472,165
Arrivi,2014-04,"Valsugana, Tesino e Valle dei Mocheni",5328,3516
